Ngày,NhietDoMax,NhietDoMin,NhietDoTB,NhietDoCamNhanMax,NhietDoCamNhanMin,NhietoCamNhan,SuongMu,DoAm,GioGiat,VanTocGio,HuongGio,MucNuocBien,MayChePhu,TamNhin,BucXa,NangLuongMayTroi,ChiSoUV,MatTrang,TinhTrang,MoTa,Mua/KhngMua
21/01/20,35.4,25.0,29.4,36.0,25.0,30.2,19.3,57.4,20.5,19.2,107.2,1013.7,31.4,9.9,240.8,20.9,9,0.87,2,Partly cloudy throughout the day.,notrain
22/01/20,33.8,24.0,28.9,36.3,24.0,30.1,20.1,60.7,20.9,16.9,128.2,1012.7,35.5,10.3,228.2,19.6,8,0.9,2,Becoming cloudy in the afternoon.,notrain
23/01/20,34.0,25.0,29.0,34.7,25.0,29.4,17.7,51.9,33.5,17.3,126.7,1011.7,43.4,10.3,215.8,18.5,9,0.94,2,Partly cloudy throughout the day.,notrain
24/01/20,34.6,23.0,28.4,34.0,23.0,28.6,17.9,55.5,28.8,18.8,123.0,1011.6,40.4,10.3,259.8,22.4,9,0.98,2,Partly cloudy throughout the day.,notrain
25/01/20,33.4,24.6,28.1,35.2,24.6,29.1,21.0,67.6,34.2,21.3,145.5,1010.3,33.8,10.1,218.0,18.9,9,0.0,2,Becoming cloudy in the afternoon.,notrain
26/01/20,33.4,24.0,27.8,35.1,24.0,28.6,21.9,73.2,27.0,17.6,148.2,1010.0,36.4,10.3,238.4,20.6,9,0.04,2,Partly cloudy throughout the day.,notrain
27/01/20,32.0,24.9,27.4,34.2,24.9,28.3,22.0,74.3,33.1,21.2,145.5,1010.1,42.7,10.3,228.2,19.8,8,0.07,2,Partly cloudy throughout the day.,notrain
28/01/20,32.0,24.0,27.2,33.7,24.0,28.1,21.4,72.5,29.2,18.4,146.0,1010.5,45.9,10.3,246.5,21.2,9,0.11,2,Partly cloudy throughout the day.,notrain
29/01/20,32.6,23.9,27.4,35.5,23.9,28.5,21.7,73.0,24.1,18.8,144.9,1011.9,46.4,10.3,224.1,19.4,8,0.14,2,Partly cloudy throughout the day.,notrain
30/01/20,33.0,24.0,27.7,34.6,24.0,28.8,21.5,71.0,23.0,16.6,122.7,1011.2,48.6,10.2,222.4,19.3,9,0.17,3,Partly cloudy throughout the day with rain.,rain
31/01/20,31.0,23.0,26.9,33.1,23.0,27.9,20.5,69.1,19.4,15.5,130.7,1012.0,50.2,9.7,206.0,17.9,7,0.2,3,Partly cloudy throughout the day with afternoon rain.,rain
2/1/2020,31.4,24.0,27.2,32.3,24.0,27.5,18.2,59.0,24.8,15.4,117.9,1012.5,52.1,10.0,205.9,17.8,9,0.24,2,Partly cloudy throughout the day.,notrain
2/2/2020,31.6,22.0,26.5,32.0,22.0,26.9,18.7,64.0,22.7,13.1,110.5,1013.7,35.7,9.3,251.0,21.6,9,0.25,2,Partly cloudy throughout the day.,notrain
2/3/2020,33.0,21.4,27.1,32.1,21.4,27.2,17.9,60.9,24.8,19.2,121.2,1012.9,36.1,9.5,271.5,23.4,9,0.3,2,Partly cloudy throughout the day.,notrain
2/4/2020,34.6,22.0,27.6,32.9,22.0,27.8,18.2,60.1,24.1,23.4,116.7,1011.7,32.1,10.0,248.3,21.4,9,0.33,2,Partly cloudy throughout the day.,notrain
2/5/2020,33.6,22.0,27.6,33.2,22.0,27.7,17.7,57.4,22.7,17.6,119.6,1011.3,30.3,10.0,242.5,21.0,9,0.37,2,Partly cloudy throughout the day.,notrain
2/6/2020,32.0,22.2,27.0,31.6,22.2,26.8,15.2,50.3,24.8,17.6,125.4,1012.5,42.5,10.3,255.8,22.1,9,0.4,2,Partly cloudy throughout the day.,notrain
2/7/2020,34.4,22.6,27.7,32.6,22.6,27.6,17.0,56.7,23.8,17.6,116.2,1012.5,38.8,9.7,274.4,23.7,9,0.43,2,Partly cloudy throughout the day.,notrain
2/8/2020,34.4,22.0,27.8,34.9,22.0,28.7,19.3,63.1,25.2,15.8,95.9,1012.5,39.1,10.0,224.9,19.3,9,0.46,2,Partly cloudy throughout the day.,notrain
2/9/2020,31.8,25.0,28.5,33.4,25.0,29.1,18.2,54.5,18.7,15.1,42.8,1012.5,51.5,10.1,108.8,9.5,6,0.5,3,Partly cloudy throughout the day with rain.,rain
2/10/2020,32.9,23.0,27.8,33.0,23.0,28.2,17.5,54.9,24.5,13.0,14.6,1012.5,45.6,10.1,203.7,17.5,8,0.53,2,Becoming cloudy in the afternoon.,notrain
2/11/2020,34.9,23.0,29.0,36.5,23.0,30.1,19.8,60.2,37.1,23.4,114.5,1012.9,45.5,10.3,240.6,20.7,9,0.57,2,Becoming cloudy in the afternoon.,notrain
2/12/2020,34.9,26.0,29.6,36.3,26.0,31.2,20.1,58.1,37.1,23.4,122.5,1012.5,35.9,10.3,245.8,21.2,9,0.6,2,Becoming cloudy in the afternoon.,notrain
13/02/20,35.2,25.6,29.0,38.0,25.6,30.5,21.9,68.1,33.1,20.9,140.8,1011.5,30.0,10.3,262.8,22.7,9,0.64,2,Partly cloudy throughout the day.,notrain
14/02/20,32.1,25.0,27.8,35.3,25.0,29.5,22.4,73.6,31.0,16.6,154.8,1010.3,46.2,10.3,214.0,18.7,7,0.67,2,Partly cloudy throughout the day.,notrain
15/02/20,32.4,24.9,28.2,35.1,24.9,29.7,21.6,69.0,44.6,20.9,158.2,1011.1,41.3,10.3,240.5,20.8,9,0.71,2,Partly cloudy throughout the day.,notrain
16/02/20,34.6,24.0,28.8,38.0,24.0,31.0,22.6,71.3,21.6,17.3,151.5,1012.0,47.2,10.3,230.2,20.0,9,0.75,2,Partly cloudy throughout the day.,notrain
17/02/20,36.0,24.4,28.7,38.1,24.4,30.9,23.0,74.3,26.6,18.5,105.6,1012.9,58.2,9.3,222.7,19.2,9,0.78,3,Partly cloudy throughout the day with rain.,rain
18/02/20,33.0,25.0,28.2,33.9,25.0,29.1,20.6,66.2,24.8,15.8,99.3,1013.0,52.8,9.3,239.1,20.6,9,0.81,3,Partly cloudy throughout the day with early morning rain.,rain
19/02/20,35.0,22.0,27.9,34.0,22.0,28.1,17.6,56.5,23.4,19.2,105.3,1013.1,32.1,9.6,284.1,24.6,10,0.85,2,Partly cloudy throughout the day.,notrain
20/02/20,34.0,22.6,28.2,34.3,22.6,28.6,18.9,60.8,19.1,16.4,168.8,1013.1,40.4,8.6,264.8,22.8,9,0.88,2,Becoming cloudy in the afternoon.,notrain
21/02/20,34.7,23.5,29.0,35.1,23.5,29.3,17.5,51.8,32.4,19.2,46.2,1014.2,36.9,10.3,256.5,22.2,9,0.91,2,Partly cloudy throughout the day.,notrain
22/02/20,34.6,22.0,28.2,33.8,22.0,28.2,16.4,51.5,42.5,17.3,59.0,1014.7,25.4,10.2,264.5,23.0,9,0.95,3,Partly cloudy throughout the day with early morning rain.,rain
23/02/20,34.6,23.0,28.1,33.7,23.0,28.2,16.2,50.2,24.8,18.9,63.7,1013.8,28.1,10.3,279.0,24.2,10,0.0,2,Partly cloudy throughout the day.,notrain
24/02/20,34.6,22.1,28.1,33.5,22.1,28.0,16.2,51.3,23.4,16.6,94.4,1012.2,33.8,9.7,287.7,24.9,10,0.02,2,Partly cloudy throughout the day.,notrain
25/02/20,33.9,23.0,28.4,33.7,23.0,29.0,18.4,57.1,22.3,18.4,124.0,1010.8,33.6,9.8,250.0,21.7,10,0.05,2,Becoming cloudy in the afternoon.,notrain
26/02/20,35.2,24.0,29.1,36.6,24.0,30.2,19.6,58.6,27.0,20.9,112.1,1011.0,35.5,9.4,265.9,22.9,10,0.08,2,Partly cloudy throughout the day.,notrain
27/02/20,34.9,24.0,29.1,34.9,24.0,29.6,18.2,54.0,27.0,23.1,126.0,1010.3,35.3,9.9,254.6,22.0,10,0.12,2,Becoming cloudy in the afternoon.,notrain
28/02/20,35.0,23.4,28.5,34.5,23.4,28.8,17.5,53.3,25.2,19.6,125.1,1009.9,27.0,10.3,270.4,23.5,10,0.15,2,Partly cloudy throughout the day.,notrain
29/02/20,34.3,24.6,28.8,35.6,24.6,29.8,19.2,57.7,30.2,18.3,129.3,1009.4,38.0,10.3,245.2,21.1,10,0.18,2,Partly cloudy throughout the day.,notrain
3/1/2020,34.8,25.6,29.4,36.5,25.6,31.0,20.4,59.9,24.5,18.9,132.9,1009.9,41.1,10.3,258.8,22.4,9,0.22,2,Becoming cloudy in the afternoon.,notrain
3/2/2020,35.0,25.9,29.5,37.0,25.9,31.2,20.7,60.7,33.8,24.5,131.8,1009.8,39.5,10.3,238.6,20.6,8,0.25,2,Partly cloudy throughout the day.,notrain
3/3/2020,35.0,25.6,29.2,35.7,25.6,30.7,19.8,58.3,31.3,21.3,124.5,1010.0,39.2,10.2,262.4,22.9,10,0.25,2,Partly cloudy throughout the day.,notrain
3/4/2020,34.0,25.9,28.9,36.0,25.9,30.3,20.5,62.1,30.2,21.6,135.3,1010.1,39.6,10.3,244.5,21.2,9,0.32,3,Partly cloudy throughout the day with afternoon rain.,rain
3/5/2020,34.0,25.9,29.1,35.4,25.9,30.3,20.5,61.7,33.1,22.0,137.0,1010.7,41.4,10.3,249.4,21.8,9,0.35,2,Becoming cloudy in the afternoon.,notrain
3/6/2020,34.1,26.0,28.7,35.2,26.0,29.7,20.5,63.0,29.5,15.8,131.7,1012.0,42.3,10.3,218.3,19.0,8,0.38,2,Partly cloudy throughout the day.,notrain
3/7/2020,34.2,25.5,28.6,36.5,25.5,30.2,21.9,69.4,24.1,19.5,148.4,1011.6,31.1,10.0,238.9,20.7,9,0.42,3,Partly cloudy throughout the day with afternoon rain.,rain
3/8/2020,34.4,26.0,29.4,38.8,26.0,32.2,23.1,71.2,19.1,15.1,191.0,1009.5,39.3,10.3,203.1,17.6,8,0.45,2,Partly cloudy throughout the day.,notrain
3/9/2020,34.6,27.0,29.6,40.6,30.5,34.8,24.8,77.0,24.1,16.6,182.6,1008.0,49.5,10.3,253.6,22.0,9,0.48,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
3/10/2020,35.0,27.0,29.8,40.1,30.6,34.9,24.7,75.7,23.0,18.2,163.3,1008.3,56.5,10.0,225.1,19.6,8,0.5,3,Partly cloudy throughout the day with rain.,rain
3/11/2020,33.0,26.9,29.2,38.1,29.2,33.1,23.2,71.2,33.5,20.0,146.1,1010.6,48.8,10.0,215.6,18.5,7,0.55,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
3/12/2020,36.0,26.0,30.2,37.7,26.0,32.0,20.7,58.8,29.2,19.6,140.3,1011.3,37.0,10.3,267.7,23.2,10,0.58,2,Partly cloudy throughout the day.,notrain
13/03/20,34.4,25.6,29.4,38.3,25.6,32.3,22.6,68.1,31.3,19.9,155.1,1011.8,40.3,10.3,261.9,22.4,10,0.62,2,Partly cloudy throughout the day.,notrain
14/03/20,34.0,26.9,29.4,37.2,29.5,32.1,21.9,65.8,34.6,20.1,139.4,1011.3,45.8,10.4,273.2,23.7,10,0.65,2,Partly cloudy throughout the day.,notrain
15/03/20,36.4,26.4,30.4,37.9,26.4,32.1,20.1,56.3,35.6,21.9,136.4,1010.6,28.5,10.3,292.0,25.2,10,0.69,2,Partly cloudy throughout the day.,notrain
16/03/20,36.6,25.6,30.1,37.5,25.6,31.4,19.7,56.5,34.6,20.5,126.0,1011.2,31.6,10.1,289.8,25.0,10,0.75,2,Partly cloudy throughout the day.,notrain
17/03/20,35.9,26.4,30.1,37.2,26.4,31.9,20.2,57.4,36.4,17.4,128.7,1011.6,38.3,10.1,272.2,23.6,9,0.75,2,Becoming cloudy in the afternoon.,notrain
18/03/20,34.9,26.0,29.6,36.5,26.0,31.8,21.6,64.8,32.0,20.0,144.1,1010.4,35.0,10.2,284.4,24.8,10,0.79,2,Partly cloudy throughout the day.,notrain
19/03/20,34.6,26.9,29.6,36.4,29.5,32.0,21.5,64.4,32.4,19.2,147.3,1010.5,40.5,10.3,280.5,24.1,10,0.82,2,Partly cloudy throughout the day.,notrain
20/03/20,34.3,26.0,29.4,35.0,26.0,30.7,20.1,60.5,32.0,22.0,146.6,1011.3,31.3,10.3,295.2,25.5,10,0.86,2,Partly cloudy throughout the day.,notrain
21/03/20,34.8,26.0,29.3,36.9,26.0,31.3,22.1,68.2,32.4,20.7,141.9,1011.4,44.3,10.3,278.5,24.0,10,0.89,2,Partly cloudy throughout the day.,notrain
22/03/20,34.0,26.0,29.2,37.3,26.0,31.8,22.5,69.1,30.2,18.9,144.8,1010.7,47.9,10.2,273.8,23.6,10,0.93,2,Partly cloudy throughout the day.,notrain
23/03/20,34.0,26.9,29.3,36.5,29.6,32.1,22.3,68.2,29.2,21.6,148.0,1010.1,41.6,10.3,275.6,23.9,10,0.96,3,Partly cloudy throughout the day with afternoon rain.,rain
24/03/20,34.0,26.0,29.2,35.7,26.0,31.0,21.4,65.4,29.5,18.2,140.8,1009.5,33.1,10.3,290.9,25.1,10,0.0,2,Partly cloudy throughout the day.,notrain
25/03/20,34.8,26.9,29.7,38.3,29.9,33.0,22.7,68.0,34.9,22.3,139.1,1008.3,41.9,10.3,284.9,24.7,10,0.03,3,Partly cloudy throughout the day with afternoon rain.,rain
26/03/20,34.4,26.9,29.7,37.3,29.9,32.6,22.3,66.9,32.4,22.6,142.0,1009.5,31.8,10.3,280.3,24.2,10,0.06,3,Partly cloudy throughout the day with afternoon rain.,rain
27/03/20,34.0,26.0,29.3,37.5,26.0,32.5,22.8,69.7,26.6,18.4,147.8,1009.9,45.0,10.3,249.9,21.6,10,0.1,3,Partly cloudy throughout the day with afternoon rain.,rain
28/03/20,33.0,26.9,29.3,37.0,29.9,32.6,22.8,69.3,27.7,14.8,154.6,1009.1,48.1,10.3,253.1,21.9,9,0.13,3,Partly cloudy throughout the day with morning rain.,rain
29/03/20,35.2,27.0,29.9,37.2,29.6,32.6,21.9,65.2,32.0,19.2,148.8,1008.6,32.5,10.3,289.1,25.1,10,0.16,2,Partly cloudy throughout the day.,notrain
30/03/20,35.0,26.9,30.0,38.5,30.4,33.9,23.3,69.7,26.3,16.2,149.7,1008.9,46.7,10.3,269.5,23.2,9,0.2,2,Partly cloudy throughout the day.,notrain
31/03/20,35.4,27.0,30.2,39.0,30.6,34.4,23.5,69.6,21.6,18.0,148.1,1009.2,58.3,10.3,261.5,22.6,8,0.23,3,Partly cloudy throughout the day with afternoon rain.,rain
4/1/2020,35.0,27.4,30.5,40.6,31.5,35.0,23.7,68.8,32.8,20.5,148.2,1009.0,40.5,10.3,277.7,24.0,10,0.25,2,Partly cloudy throughout the day.,notrain
4/2/2020,35.6,27.0,30.6,38.4,30.1,33.7,21.9,62.4,37.1,22.3,134.7,1009.7,42.7,10.3,295.1,25.7,10,0.3,2,Partly cloudy throughout the day.,notrain
4/3/2020,36.7,27.5,31.0,38.4,31.1,33.7,21.1,58.4,35.6,22.9,136.3,1010.0,31.0,10.3,294.7,25.5,10,0.33,2,Partly cloudy throughout the day.,notrain
4/4/2020,35.8,27.4,30.9,40.0,30.8,34.5,22.4,62.5,35.6,21.6,130.6,1010.0,34.2,10.3,283.2,24.5,10,0.37,2,Partly cloudy throughout the day.,notrain
4/5/2020,37.6,27.0,31.3,37.5,29.2,33.7,20.5,56.0,37.1,24.1,127.5,1010.4,27.6,10.3,275.1,24.0,10,0.4,2,Partly cloudy throughout the day.,notrain
4/6/2020,35.0,27.4,30.5,37.7,31.2,34.2,22.6,64.7,29.9,19.6,139.9,1009.8,43.3,10.3,290.2,25.1,9,0.44,2,Partly cloudy throughout the day.,notrain
4/7/2020,33.6,27.9,30.0,37.8,31.5,33.9,23.0,67.1,31.0,22.3,147.7,1009.8,41.2,10.3,263.5,22.7,9,0.47,3,Partly cloudy throughout the day with afternoon rain.,rain
4/8/2020,34.2,27.4,29.7,40.3,30.8,34.7,24.2,73.2,25.9,18.4,144.3,1010.2,65.3,10.2,203.9,17.7,8,0.5,3,Partly cloudy throughout the day with rain.,rain
4/9/2020,34.9,26.4,29.6,40.1,26.4,34.1,24.2,74.8,29.5,22.0,114.9,1010.8,64.1,9.2,229.2,19.9,8,0.54,3,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
4/10/2020,34.5,26.9,29.3,39.0,30.1,34.0,24.3,75.8,28.1,17.8,128.0,1011.5,48.5,9.8,229.4,19.7,8,0.57,3,Partly cloudy throughout the day with rain.,rain
4/11/2020,33.0,27.0,29.7,38.1,30.6,34.1,23.8,71.4,28.8,17.3,140.0,1011.3,43.0,10.3,235.5,20.3,8,0.6,3,Partly cloudy throughout the day with afternoon rain.,rain
4/12/2020,33.9,27.9,29.8,39.4,31.8,35.0,24.4,73.7,23.8,20.0,138.7,1009.9,47.8,10.0,229.2,19.9,9,0.64,3,Partly cloudy throughout the day with late afternoon rain.,rain
13/04/20,31.0,26.0,28.2,35.4,26.0,31.2,24.4,81.2,30.2,14.8,108.8,1010.4,59.3,8.8,152.0,13.2,6,0.67,3,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
14/04/20,34.4,26.0,28.7,36.8,26.0,31.4,23.9,78.0,46.4,21.8,107.9,1010.8,57.9,7.3,240.5,20.6,9,0.7,3,Partly cloudy throughout the day with rain.,rain
15/04/20,34.2,25.0,29.0,38.9,25.0,31.8,23.3,73.7,26.3,16.6,123.3,1010.7,56.4,8.6,257.8,22.4,9,0.75,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
16/04/20,34.6,26.0,30.0,37.7,26.0,33.1,22.4,65.4,24.1,19.6,135.5,1009.7,45.2,9.7,274.9,23.6,9,0.77,3,Becoming cloudy in the afternoon with rain.,rain
17/04/20,34.8,27.0,30.2,39.6,30.1,34.4,23.4,68.6,35.3,23.1,140.0,1010.1,41.5,10.3,257.3,22.0,8,0.8,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
18/04/20,35.0,26.0,30.0,39.6,26.0,33.9,23.7,71.0,23.0,15.7,136.6,1010.9,42.0,10.2,262.4,22.8,8,0.84,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
19/04/20,35.3,27.4,30.5,41.3,31.5,35.7,24.2,70.5,29.5,17.7,147.9,1009.9,41.2,10.3,267.4,23.2,9,0.87,2,Partly cloudy throughout the day.,notrain
20/04/20,35.6,27.9,30.7,41.4,31.9,35.6,23.9,69.0,29.9,19.6,146.1,1009.8,38.4,10.3,284.4,24.7,10,0.9,2,Partly cloudy throughout the day.,notrain
21/04/20,36.4,27.0,30.8,41.3,30.6,35.7,23.9,68.7,31.7,21.6,141.1,1008.9,37.7,10.3,296.5,25.5,10,0.94,2,Partly cloudy throughout the day.,notrain
22/04/20,34.9,27.0,30.9,39.8,30.8,36.8,24.7,71.5,32.0,17.7,147.7,1008.9,52.4,10.3,261.8,22.8,9,0.97,2,Partly cloudy throughout the day.,notrain
23/04/20,37.0,28.9,31.9,42.0,34.5,37.2,23.8,64.4,34.6,22.3,136.5,1008.7,51.0,10.3,281.7,24.4,10,0.0,3,Partly cloudy throughout the day with afternoon rain.,rain
24/04/20,36.7,28.0,30.5,40.6,31.9,35.2,23.6,67.8,36.4,17.8,105.9,1009.1,44.9,10.0,213.1,18.5,9,0.04,3,Partly cloudy throughout the day with late afternoon rain.,rain
25/04/20,36.6,26.0,29.2,39.4,26.0,31.4,23.2,73.1,46.4,26.4,40.7,1009.0,45.7,9.8,264.3,22.7,9,0.07,3,Partly cloudy throughout the day with late afternoon rain.,rain
26/04/20,35.0,25.0,28.5,40.1,25.0,30.2,23.6,77.6,26.6,20.8,343.3,1009.9,52.4,9.8,212.0,18.3,8,0.11,3,Partly cloudy throughout the day with late afternoon rain.,rain
27/04/20,35.0,25.0,28.8,38.3,25.0,31.3,23.4,75.4,31.0,25.5,265.4,1010.3,48.4,8.4,247.7,21.3,9,0.14,3,Partly cloudy throughout the day with late afternoon rain.,rain
28/04/20,36.0,25.6,29.6,39.5,25.6,32.5,23.1,70.7,21.2,14.1,134.0,1009.7,51.8,9.6,236.2,20.4,9,0.18,3,Partly cloudy throughout the day with afternoon rain.,rain
29/04/20,36.4,26.0,30.9,37.9,26.0,33.3,21.1,58.5,24.1,20.5,124.0,1009.1,47.8,10.3,287.9,25.0,9,0.21,3,Partly cloudy throughout the day with afternoon rain.,rain
30/04/20,36.3,26.6,31.1,39.4,26.6,34.0,21.7,59.2,24.1,22.7,124.9,1009.3,40.4,10.3,272.4,23.5,9,0.25,2,Becoming cloudy in the afternoon.,notrain
5/1/2020,36.2,27.0,30.8,38.5,29.8,34.1,21.9,61.4,29.5,22.3,134.4,1008.3,34.5,10.3,291.2,25.2,10,0.25,2,Partly cloudy throughout the day.,notrain
5/2/2020,34.4,28.0,30.5,38.3,31.6,34.6,22.9,65.4,23.8,18.4,144.6,1007.9,46.7,10.0,265.6,23.0,9,0.32,3,Partly cloudy throughout the day with afternoon rain.,rain
5/3/2020,35.2,27.6,30.9,41.6,32.2,36.5,24.4,69.7,27.7,19.3,143.1,1007.8,50.2,10.1,261.0,22.4,8,0.35,2,Partly cloudy throughout the day.,notrain
5/4/2020,34.9,28.4,30.9,40.7,34.3,37.1,24.8,71.3,22.7,15.8,150.4,1008.6,47.5,10.2,257.7,22.2,8,0.39,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
5/5/2020,36.4,29.0,31.3,42.2,35.3,37.5,24.7,69.6,21.2,17.3,162.2,1007.7,58.7,10.1,259.4,22.3,9,0.42,3,Partly cloudy throughout the day with morning rain.,rain
5/6/2020,36.0,29.0,31.6,39.9,34.9,37.4,24.2,67.2,23.4,15.5,163.8,1007.4,56.2,10.3,277.5,24.0,9,0.46,2,Partly cloudy throughout the day.,notrain
5/7/2020,35.4,28.8,31.5,41.3,34.0,38.0,24.8,69.0,27.7,18.9,149.0,1006.9,49.6,10.3,251.6,21.8,8,0.5,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
5/8/2020,36.0,29.0,31.5,41.4,35.5,38.1,25.0,70.1,27.7,17.7,163.9,1007.2,55.7,9.7,243.1,21.0,9,0.52,3,Partly cloudy throughout the day with rain clearing later.,rain
5/9/2020,36.6,28.9,31.9,42.4,35.5,38.4,24.7,67.8,24.5,18.4,167.0,1007.8,56.7,10.3,261.8,22.5,9,0.56,3,Partly cloudy throughout the day with morning rain.,rain
5/10/2020,36.3,29.0,31.8,41.2,35.6,37.9,24.4,67.0,27.0,19.6,158.5,1008.0,53.5,10.3,271.0,23.4,9,0.59,2,Partly cloudy throughout the day.,notrain
5/11/2020,35.6,29.9,31.9,40.3,35.8,37.6,23.9,64.2,26.6,14.8,154.9,1008.4,61.7,10.3,276.8,24.0,9,0.62,2,Partly cloudy throughout the day.,notrain
5/12/2020,36.6,28.9,31.9,40.7,34.5,37.3,23.7,64.3,27.0,17.6,135.5,1007.9,53.1,10.3,266.8,22.8,9,0.66,3,Partly cloudy throughout the day with afternoon rain.,rain
13/05/20,36.6,28.9,31.8,43.2,34.4,38.0,24.5,67.0,29.5,20.3,145.1,1007.9,44.4,10.3,264.8,22.8,9,0.69,3,Partly cloudy throughout the day with afternoon rain.,rain
14/05/20,37.0,29.0,31.9,40.8,35.6,37.9,24.2,65.6,28.4,21.3,125.0,1007.6,51.8,10.3,251.4,21.8,9,0.75,3,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
15/05/20,36.0,29.0,31.5,41.2,35.5,38.0,24.8,69.2,25.2,16.6,148.4,1005.6,49.6,10.3,239.2,20.7,8,0.75,3,Partly cloudy throughout the day with afternoon rain.,rain
